"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1970","Distrito Federal","Produção vegetal (Toneladas)","2"
"1970","Distrito Federal","Área colhida (Hectares)","4"
"1975","Rondônia","Produção vegetal (Toneladas)","66"
"1975","Rondônia","Área colhida (Hectares)","282"
"1975","Acre","Produção vegetal (Toneladas)","-"
"1975","Acre","Área colhida (Hectares)","-"
"1975","Amazonas","Produção vegetal (Toneladas)","0"
"1975","Amazonas","Área colhida (Hectares)","0"
"1975","Roraima","Produção vegetal (Toneladas)","-"
"1975","Roraima","Área colhida (Hectares)","-"
"1975","Pará","Produção vegetal (Toneladas)","0"
"1975","Pará","Área colhida (Hectares)","1"
"1975","Amapá","Produção vegetal (Toneladas)","-"
"1975","Amapá","Área colhida (Hectares)","-"
"1975","Tocantins","Produção vegetal (Toneladas)","..."
"1975","Tocantins","Área colhida (Hectares)","..."
"1975","Maranhão","Produção vegetal (Toneladas)","22"
"1975","Maranhão","Área colhida (Hectares)","68"
"1975","Piauí","Produção vegetal (Toneladas)","5"
"1975","Piauí","Área colhida (Hectares)","34"
"1975","Ceará","Produção vegetal (Toneladas)","12"
"1975","Ceará","Área colhida (Hectares)","81"
"1975","Rio Grande do Norte","Produção vegetal (Toneladas)","-"
"1975","Rio Grande do Norte","Área colhida (Hectares)","-"
"1975","Paraíba","Produção vegetal (Toneladas)","1"
"1975","Paraíba","Área colhida (Hectares)","2"
"1975","Pernambuco","Produção vegetal (Toneladas)","49"
"1975","Pernambuco","Área colhida (Hectares)","59"
"1975","Alagoas","Produção vegetal (Toneladas)","0"
"1975","Alagoas","Área colhida (Hectares)","1"
"1975","Sergipe","Produção vegetal (Toneladas)","-"
"1975","Sergipe","Área colhida (Hectares)","-"
"1975","Bahia","Produção vegetal (Toneladas)","83"
"1975","Bahia","Área colhida (Hectares)","220"
"1975","Minas Gerais","Produção vegetal (Toneladas)","47744"
"1975","Minas Gerais","Área colhida (Hectares)","48359"
"1975","Espírito Santo","Produção vegetal (Toneladas)","125"
"1975","Espírito Santo","Área colhida (Hectares)","110"
"1975","Rio de Janeiro","Produção vegetal (Toneladas)","45"
"1975","Rio de Janeiro","Área colhida (Hectares)","42"
"1975","São Paulo","Produção vegetal (Toneladas)","629577"
"1975","São Paulo","Área colhida (Hectares)","348774"
"1975","Paraná","Produção vegetal (Toneladas)","3103049"
"1975","Paraná","Área colhida (Hectares)","1615302"
"1975","Santa Catarina","Produção vegetal (Toneladas)","270870"
"1975","Santa Catarina","Área colhida (Hectares)","263876"
"1975","Rio Grande do Sul","Produção vegetal (Toneladas)","4419465"
"1975","Rio Grande do Sul","Área colhida (Hectares)","3195977"
"1975","Mato Grosso do Sul","Produção vegetal (Toneladas)","167981"
"1975","Mato Grosso do Sul","Área colhida (Hectares)","121829"
"1975","Mato Grosso","Produção vegetal (Toneladas)","5"
"1975","Mato Grosso","Área colhida (Hectares)","3"
"1975","Goiás","Produção vegetal (Toneladas)","82173"
"1975","Goiás","Área colhida (Hectares)","61905"
"1975","Distrito Federal","Produção vegetal (Toneladas)","2"
"1975","Distrito Federal","Área colhida (Hectares)","3"
"1980","Rondônia","Produção vegetal (Toneladas)","14"
"1980","Rondônia","Área colhida (Hectares)","8"
"1980","Acre","Produção vegetal (Toneladas)","-"
"1980","Acre","Área colhida (Hectares)","-"
"1980","Amazonas","Produção vegetal (Toneladas)","-"
"1980","Amazonas","Área colhida (Hectares)","-"
"1980","Roraima","Produção vegetal (Toneladas)","-"
"1980","Roraima","Área colhida (Hectares)","-"
"1980","Pará","Produção vegetal (Toneladas)","12"
"1980","Pará","Área colhida (Hectares)","29"
"1980","Amapá","Produção vegetal (Toneladas)","-"
"1980","Amapá","Área colhida (Hectares)","-"
"1980","Tocantins","Produção vegetal (Toneladas)","..."
"1980","Tocantins","Área colhida (Hectares)","..."
"1980","Maranhão","Produção vegetal (Toneladas)","92"
"1980","Maranhão","Área colhida (Hectares)","84"
"1980","Piauí","Produção vegetal (Toneladas)","-"
"1980","Piauí","Área colhida (Hectares)","-"
"1980","Ceará","Produção vegetal (Toneladas)","0"
"1980","Ceará","Área colhida (Hectares)","4"
"1980","Rio Grande do Norte","Produção vegetal (Toneladas)","-"
"1980","Rio Grande do Norte","Área colhida (Hectares)","-"
"1980","Paraíba","Produção vegetal (Toneladas)","-"
"1980","Paraíba","Área colhida (Hectares)","-"
"1980","Pernambuco","Produção vegetal (Toneladas)","-"
"1980","Pernambuco","Área colhida (Hectares)","-"
"1980","Alagoas","Produção vegetal (Toneladas)","-"
"1980","Alagoas","Área colhida (Hectares)","-"
"1980","Sergipe","Produção vegetal (Toneladas)","-"
"1980","Sergipe","Área colhida (Hectares)","-"
"1980","Bahia","Produção vegetal (Toneladas)","847"
"1980","Bahia","Área colhida (Hectares)","1149"
"1980","Minas Gerais","Produção vegetal (Toneladas)","246764"
