"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"janeiro 2009","Brasil","Área colhida (Hectares)","21492212"
"janeiro 2009","Brasil","Produção (Toneladas)","57776642"
"janeiro 2009","Norte","Área colhida (Hectares)","501560"
"janeiro 2009","Norte","Produção (Toneladas)","1433018"
"janeiro 2009","Nordeste","Área colhida (Hectares)","1591365"
"janeiro 2009","Nordeste","Produção (Toneladas)","4451945"
"janeiro 2009","Sudeste","Área colhida (Hectares)","1440992"
"janeiro 2009","Sudeste","Produção (Toneladas)","4100847"
"janeiro 2009","Sul","Área colhida (Hectares)","8209607"
"janeiro 2009","Sul","Produção (Toneladas)","18755761"
"janeiro 2009","Centro-Oeste","Área colhida (Hectares)","9748688"
"janeiro 2009","Centro-Oeste","Produção (Toneladas)","29035071"
"fevereiro 2009","Brasil","Área colhida (Hectares)","21521559"
"fevereiro 2009","Brasil","Produção (Toneladas)","57593978"
"fevereiro 2009","Norte","Área colhida (Hectares)","501560"
"fevereiro 2009","Norte","Produção (Toneladas)","1433018"
"fevereiro 2009","Nordeste","Área colhida (Hectares)","1594758"
"fevereiro 2009","Nordeste","Produção (Toneladas)","4458591"
"fevereiro 2009","Sudeste","Área colhida (Hectares)","1424956"
"fevereiro 2009","Sudeste","Produção (Toneladas)","4012909"
"fevereiro 2009","Sul","Área colhida (Hectares)","8215647"
"fevereiro 2009","Sul","Produção (Toneladas)","18944708"
"fevereiro 2009","Centro-Oeste","Área colhida (Hectares)","9784638"
"fevereiro 2009","Centro-Oeste","Produção (Toneladas)","28744752"
"março 2009","Brasil","Área colhida (Hectares)","21579044"
"março 2009","Brasil","Produção (Toneladas)","58471633"
"março 2009","Norte","Área colhida (Hectares)","498370"
"março 2009","Norte","Produção (Toneladas)","1429010"
"março 2009","Nordeste","Área colhida (Hectares)","1594384"
"março 2009","Nordeste","Produção (Toneladas)","4423156"
"março 2009","Sudeste","Área colhida (Hectares)","1433546"
"março 2009","Sudeste","Produção (Toneladas)","4056220"
"março 2009","Sul","Área colhida (Hectares)","8183477"
"março 2009","Sul","Produção (Toneladas)","19528769"
"março 2009","Centro-Oeste","Área colhida (Hectares)","9869267"
"março 2009","Centro-Oeste","Produção (Toneladas)","29034478"
