"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"junho 2019","Nordeste","Produção (Toneladas)","10165939"
"junho 2019","Sudeste","Área colhida (Hectares)","2586458"
"junho 2019","Sudeste","Produção (Toneladas)","8057506"
"junho 2019","Sul","Área colhida (Hectares)","11897486"
"junho 2019","Sul","Produção (Toneladas)","37044588"
"junho 2019","Centro-Oeste","Área colhida (Hectares)","16012869"
"junho 2019","Centro-Oeste","Produção (Toneladas)","51624171"
"julho 2019","Brasil","Área colhida (Hectares)","35649852"
"julho 2019","Brasil","Produção (Toneladas)","113150491"
"julho 2019","Norte","Área colhida (Hectares)","1838861"
"julho 2019","Norte","Produção (Toneladas)","5505009"
"julho 2019","Nordeste","Área colhida (Hectares)","3319704"
"julho 2019","Nordeste","Produção (Toneladas)","10499456"
"julho 2019","Sudeste","Área colhida (Hectares)","2586766"
"julho 2019","Sudeste","Produção (Toneladas)","8059356"
"julho 2019","Sul","Área colhida (Hectares)","11921452"
"julho 2019","Sul","Produção (Toneladas)","37115107"
"julho 2019","Centro-Oeste","Área colhida (Hectares)","15983069"
"julho 2019","Centro-Oeste","Produção (Toneladas)","51971563"
"agosto 2019","Brasil","Área colhida (Hectares)","35669932"
"agosto 2019","Brasil","Produção (Toneladas)","113194339"
"agosto 2019","Norte","Área colhida (Hectares)","1838861"
"agosto 2019","Norte","Produção (Toneladas)","5493048"
"agosto 2019","Nordeste","Área colhida (Hectares)","3322316"
"agosto 2019","Nordeste","Produção (Toneladas)","10450738"
"agosto 2019","Sudeste","Área colhida (Hectares)","2592804"
"agosto 2019","Sudeste","Produção (Toneladas)","8092293"
"agosto 2019","Sul","Área colhida (Hectares)","11926422"
"agosto 2019","Sul","Produção (Toneladas)","37153528"
"agosto 2019","Centro-Oeste","Área colhida (Hectares)","15989529"
"agosto 2019","Centro-Oeste","Produção (Toneladas)","52004732"
"setembro 2019","Brasil","Área colhida (Hectares)","35692858"
"setembro 2019","Brasil","Produção (Toneladas)","112823827"
"setembro 2019","Norte","Área colhida (Hectares)","1842824"
"setembro 2019","Norte","Produção (Toneladas)","5506670"
"setembro 2019","Nordeste","Área colhida (Hectares)","3324455"
"setembro 2019","Nordeste","Produção (Toneladas)","10438297"
"setembro 2019","Sudeste","Área colhida (Hectares)","2604074"
"setembro 2019","Sudeste","Produção (Toneladas)","8136410"
"setembro 2019","Sul","Área colhida (Hectares)","11931776"
"setembro 2019","Sul","Produção (Toneladas)","37076708"
"setembro 2019","Centro-Oeste","Área colhida (Hectares)","15989729"
"setembro 2019","Centro-Oeste","Produção (Toneladas)","51665742"
"outubro 2019","Brasil","Área colhida (Hectares)","35748015"
"outubro 2019","Brasil","Produção (Toneladas)","113018142"
"outubro 2019","Norte","Área colhida (Hectares)","1885929"
"outubro 2019","Norte","Produção (Toneladas)","5639268"
"outubro 2019","Nordeste","Área colhida (Hectares)","3324455"
"outubro 2019","Nordeste","Produção (Toneladas)","10438297"
"outubro 2019","Sudeste","Área colhida (Hectares)","2610986"
"outubro 2019","Sudeste","Produção (Toneladas)","8167800"
"outubro 2019","Sul","Área colhida (Hectares)","11931796"
"outubro 2019","Sul","Produção (Toneladas)","37078139"
"outubro 2019","Centro-Oeste","Área colhida (Hectares)","15994849"
"outubro 2019","Centro-Oeste","Produção (Toneladas)","51694638"
"novembro 2019","Brasil","Área colhida (Hectares)","35783747"
"novembro 2019","Brasil","Produção (Toneladas)","113168021"
"novembro 2019","Norte","Área colhida (Hectares)","1889597"
"novembro 2019","Norte","Produção (Toneladas)","5653912"
"novembro 2019","Nordeste","Área colhida (Hectares)","3325084"
"novembro 2019","Nordeste","Produção (Toneladas)","10444357"
"novembro 2019","Sudeste","Área colhida (Hectares)","2610986"
"novembro 2019","Sudeste","Produção (Toneladas)","8167800"
"novembro 2019","Sul","Área colhida (Hectares)","11931796"
"novembro 2019","Sul","Produção (Toneladas)","37078139"
"novembro 2019","Centro-Oeste","Área colhida (Hectares)","16026284"
"novembro 2019","Centro-Oeste","Produção (Toneladas)","51823813"
"dezembro 2019","Brasil","Área colhida (Hectares)","35805184"
"dezembro 2019","Brasil","Produção (Toneladas)","113488489"
"dezembro 2019","Norte","Área colhida (Hectares)","1902427"
"dezembro 2019","Norte","Produção (Toneladas)","5703702"
"dezembro 2019","Nordeste","Área colhida (Hectares)","3325084"
"dezembro 2019","Nordeste","Produção (Toneladas)","10495757"
"dezembro 2019","Sudeste","Área colhida (Hectares)","2612406"
"dezembro 2019","Sudeste","Produção (Toneladas)","8183771"
"dezembro 2019","Sul","Área colhida (Hectares)","11931796"
"dezembro 2019","Sul","Produção (Toneladas)","37078139"
"dezembro 2019","Centro-Oeste","Área colhida (Hectares)","16033471"
"dezembro 2019","Centro-Oeste","Produção (Toneladas)","52027120"
"janeiro 2020","Brasil","Área colhida (Hectares)","36673584"
"janeiro 2020","Brasil","Produção (Toneladas)","123340208"
"janeiro 2020","Norte","Área colhida (Hectares)","1946574"
"janeiro 2020","Norte","Produção (Toneladas)","5865202"
"janeiro 2020","Nordeste","Área colhida (Hectares)","3333272"
"janeiro 2020","Nordeste","Produção (Toneladas)","10938660"
"janeiro 2020","Sudeste","Área colhida (Hectares)","2773724"
"janeiro 2020","Sudeste","Produção (Toneladas)","9363556"
"janeiro 2020","Sul","Área colhida (Hectares)","12101116"
"janeiro 2020","Sul","Produção (Toneladas)","41456071"
"janeiro 2020","Centro-Oeste","Área colhida (Hectares)","16518898"
"janeiro 2020","Centro-Oeste","Produção (Toneladas)","55716719"
"fevereiro 2020","Brasil","Área colhida (Hectares)","36729602"
"fevereiro 2020","Brasil","Produção (Toneladas)","125235188"
"fevereiro 2020","Norte","Área colhida (Hectares)","1972424"
"fevereiro 2020","Norte","Produção (Toneladas)","5966376"
"fevereiro 2020","Nordeste","Área colhida (Hectares)","3333872"
"fevereiro 2020","Nordeste","Produção (Toneladas)","11160660"
"fevereiro 2020","Sudeste","Área colhida (Hectares)","2773724"
"fevereiro 2020","Sudeste","Produção (Toneladas)","9363556"
"fevereiro 2020","Sul","Área colhida (Hectares)","12101816"
"fevereiro 2020","Sul","Produção (Toneladas)","42105512"
"fevereiro 2020","Centro-Oeste","Área colhida (Hectares)","16547766"
"fevereiro 2020","Centro-Oeste","Produção (Toneladas)","56639084"
"março 2020","Brasil","Área colhida (Hectares)","36674961"
"março 2020","Brasil","Produção (Toneladas)","120722412"
"março 2020","Norte","Área colhida (Hectares)","1984254"
"março 2020","Norte","Produção (Toneladas)","6010132"
"março 2020","Nordeste","Área colhida (Hectares)","3315952"
"março 2020","Nordeste","Produção (Toneladas)","11084087"
"março 2020","Sudeste","Área colhida (Hectares)","2773724"
"março 2020","Sudeste","Produção (Toneladas)","9363556"
"março 2020","Sul","Área colhida (Hectares)","12032185"
"março 2020","Sul","Produção (Toneladas)","36509293"
"março 2020","Centro-Oeste","Área colhida (Hectares)","16568846"
"março 2020","Centro-Oeste","Produção (Toneladas)","57755344"
"abril 2020","Brasil","Área colhida (Hectares)","36717576"
"abril 2020","Brasil","Produção (Toneladas)","121044411"
"abril 2020","Norte","Área colhida (Hectares)","2023169"
"abril 2020","Norte","Produção (Toneladas)","6213441"
"abril 2020","Nordeste","Área colhida (Hectares)","3318002"
"abril 2020","Nordeste","Produção (Toneladas)","11247600"
"abril 2020","Sudeste","Área colhida (Hectares)","2773724"
"abril 2020","Sudeste","Produção (Toneladas)","9373782"
"abril 2020","Sul","Área colhida (Hectares)","12033835"
"abril 2020","Sul","Produção (Toneladas)","36448070"
"abril 2020","Centro-Oeste","Área colhida (Hectares)","16568846"
"abril 2020","Centro-Oeste","Produção (Toneladas)","57761518"
"maio 2020","Brasil","Área colhida (Hectares)","36856112"
"maio 2020","Brasil","Produção (Toneladas)","119352169"
"maio 2020","Norte","Área colhida (Hectares)","2021591"
"maio 2020","Norte","Produção (Toneladas)","6216930"
"maio 2020","Nordeste","Área colhida (Hectares)","3318002"
"maio 2020","Nordeste","Produção (Toneladas)","11373600"
"maio 2020","Sudeste","Área colhida (Hectares)","2797054"
"maio 2020","Sudeste","Produção (Toneladas)","9492072"
"maio 2020","Sul","Área colhida (Hectares)","12128291"
"maio 2020","Sul","Produção (Toneladas)","34308006"
"maio 2020","Centro-Oeste","Área colhida (Hectares)","16591174"
"maio 2020","Centro-Oeste","Produção (Toneladas)","57961561"
"junho 2020","Brasil","Área colhida (Hectares)","36839601"
"junho 2020","Brasil","Produção (Toneladas)","119899492"
"junho 2020","Norte","Área colhida (Hectares)","2022391"
"junho 2020","Norte","Produção (Toneladas)","6219510"
"junho 2020","Nordeste","Área colhida (Hectares)","3317652"
"junho 2020","Nordeste","Produção (Toneladas)","11592930"
"junho 2020","Sudeste","Área colhida (Hectares)","2799634"
"junho 2020","Sudeste","Produção (Toneladas)","9894564"
"junho 2020","Sul","Área colhida (Hectares)","12127791"
"junho 2020","Sul","Produção (Toneladas)","34303206"
"junho 2020","Centro-Oeste","Área colhida (Hectares)","16572133"
"junho 2020","Centro-Oeste","Produção (Toneladas)","57889282"
"julho 2020","Brasil","Área colhida (Hectares)","36922660"
"julho 2020","Brasil","Produção (Toneladas)","120130863"
"julho 2020","Norte","Área colhida (Hectares)","2041725"
"julho 2020","Norte","Produção (Toneladas)","6395052"
"julho 2020","Nordeste","Área colhida (Hectares)","3340970"
"julho 2020","Nordeste","Produção (Toneladas)","11532129"
"julho 2020","Sudeste","Área colhida (Hectares)","2795684"
"julho 2020","Sudeste","Produção (Toneladas)","9921937"
"julho 2020","Sul","Área colhida (Hectares)","12128514"
"julho 2020","Sul","Produção (Toneladas)","34281255"
"julho 2020","Centro-Oeste","Área colhida (Hectares)","16615767"
"julho 2020","Centro-Oeste","Produção (Toneladas)","58000490"
"agosto 2020","Brasil","Área colhida (Hectares)","37053669"
"agosto 2020","Brasil","Produção (Toneladas)","120969074"
"agosto 2020","Norte","Área colhida (Hectares)","2040665"
"agosto 2020","Norte","Produção (Toneladas)","6391726"
"agosto 2020","Nordeste","Área colhida (Hectares)","3341507"
"agosto 2020","Nordeste","Produção (Toneladas)","11541820"
"agosto 2020","Sudeste","Área colhida (Hectares)","2790248"
"agosto 2020","Sudeste","Produção (Toneladas)","10006809"
"agosto 2020","Sul","Área colhida (Hectares)","12130314"
"agosto 2020","Sul","Produção (Toneladas)","34223555"
"agosto 2020","Centro-Oeste","Área colhida (Hectares)","16750935"
"agosto 2020","Centro-Oeste","Produção (Toneladas)","58805164"
"setembro 2020","Brasil","Área colhida (Hectares)","37066990"
"setembro 2020","Brasil","Produção (Toneladas)","121386542"
"setembro 2020","Norte","Área colhida (Hectares)","2040665"
"setembro 2020","Norte","Produção (Toneladas)","6388364"
"setembro 2020","Nordeste","Área colhida (Hectares)","3341097"
"setembro 2020","Nordeste","Produção (Toneladas)","11632100"
"setembro 2020","Sudeste","Área colhida (Hectares)","2797702"
"setembro 2020","Sudeste","Produção (Toneladas)","10102968"
"setembro 2020","Sul","Área colhida (Hectares)","12136514"
"setembro 2020","Sul","Produção (Toneladas)","34233515"
"setembro 2020","Centro-Oeste","Área colhida (Hectares)","16751012"
"setembro 2020","Centro-Oeste","Produção (Toneladas)","59029595"
"outubro 2020","Brasil","Área colhida (Hectares)","37059116"
"outubro 2020","Brasil","Produção (Toneladas)","121500545"
"outubro 2020","Norte","Área colhida (Hectares)","2031259"
"outubro 2020","Norte","Produção (Toneladas)","6381897"
"outubro 2020","Nordeste","Área colhida (Hectares)","3341097"
"outubro 2020","Nordeste","Produção (Toneladas)","11582100"
"outubro 2020","Sudeste","Área colhida (Hectares)","2799322"
"outubro 2020","Sudeste","Produção (Toneladas)","10114598"
"outubro 2020","Sul","Área colhida (Hectares)","12136914"
"outubro 2020","Sul","Produção (Toneladas)","34376308"
"outubro 2020","Centro-Oeste","Área colhida (Hectares)","16750524"
"outubro 2020","Centro-Oeste","Produção (Toneladas)","59045642"
"novembro 2020","Brasil","Área colhida (Hectares)","37062550"
"novembro 2020","Brasil","Produção (Toneladas)","121550704"
"novembro 2020","Norte","Área colhida (Hectares)","2032009"
"novembro 2020","Norte","Produção (Toneladas)","6384312"
"novembro 2020","Nordeste","Área colhida (Hectares)","3341065"
"novembro 2020","Nordeste","Produção (Toneladas)","11581828"
"novembro 2020","Sudeste","Área colhida (Hectares)","2802352"
"novembro 2020","Sudeste","Produção (Toneladas)","10163893"
"novembro 2020","Sul","Área colhida (Hectares)","12136514"
"novembro 2020","Sul","Produção (Toneladas)","34375008"
"novembro 2020","Centro-Oeste","Área colhida (Hectares)","16750610"
"novembro 2020","Centro-Oeste","Produção (Toneladas)","59045663"
"dezembro 2020","Brasil","Área colhida (Hectares)","37045414"
"dezembro 2020","Brasil","Produção (Toneladas)","121522363"
"dezembro 2020","Norte","Área colhida (Hectares)","2029096"
"dezembro 2020","Norte","Produção (Toneladas)","6377581"
"dezembro 2020","Nordeste","Área colhida (Hectares)","3340869"
"dezembro 2020","Nordeste","Produção (Toneladas)","11581628"
"dezembro 2020","Sudeste","Área colhida (Hectares)","2802352"
"dezembro 2020","Sudeste","Produção (Toneladas)","10163893"
"dezembro 2020","Sul","Área colhida (Hectares)","12141014"
"dezembro 2020","Sul","Produção (Toneladas)","34411338"
"dezembro 2020","Centro-Oeste","Área colhida (Hectares)","16732083"
"dezembro 2020","Centro-Oeste","Produção (Toneladas)","58987923"
"janeiro 2021","Brasil","Área colhida (Hectares)","38153009"
"janeiro 2021","Brasil","Produção (Toneladas)","130307166"
"janeiro 2021","Norte","Área colhida (Hectares)","2045943"
"janeiro 2021","Norte","Produção (Toneladas)","6220529"
"janeiro 2021","Nordeste","Área colhida (Hectares)","3542580"
"janeiro 2021","Nordeste","Produção (Toneladas)","12433681"
"janeiro 2021","Sudeste","Área colhida (Hectares)","3019722"
"janeiro 2021","Sudeste","Produção (Toneladas)","10660932"
"janeiro 2021","Sul","Área colhida (Hectares)","12362552"
"janeiro 2021","Sul","Produção (Toneladas)","42290148"
"janeiro 2021","Centro-Oeste","Área colhida (Hectares)","17182212"
"janeiro 2021","Centro-Oeste","Produção (Toneladas)","58701876"
"fevereiro 2021","Brasil","Área colhida (Hectares)","38179974"
"fevereiro 2021","Brasil","Produção (Toneladas)","130424395"
"fevereiro 2021","Norte","Área colhida (Hectares)","2041563"
"fevereiro 2021","Norte","Produção (Toneladas)","6207979"
"fevereiro 2021","Nordeste","Área colhida (Hectares)","3542580"
"fevereiro 2021","Nordeste","Produção (Toneladas)","12433681"
"fevereiro 2021","Sudeste","Área colhida (Hectares)","3020572"
"fevereiro 2021","Sudeste","Produção (Toneladas)","10661234"
"fevereiro 2021","Sul","Área colhida (Hectares)","12373923"
"fevereiro 2021","Sul","Produção (Toneladas)","42331520"
"fevereiro 2021","Centro-Oeste","Área colhida (Hectares)","17201336"
"fevereiro 2021","Centro-Oeste","Produção (Toneladas)","58789981"
"março 2021","Brasil","Área colhida (Hectares)","38567864"
"março 2021","Brasil","Produção (Toneladas)","131830476"
"março 2021","Norte","Área colhida (Hectares)","2127210"
"março 2021","Norte","Produção (Toneladas)","6467712"
"março 2021","Nordeste","Área colhida (Hectares)","3548710"
"março 2021","Nordeste","Produção (Toneladas)","12539780"
"março 2021","Sudeste","Área colhida (Hectares)","3060872"
"março 2021","Sudeste","Produção (Toneladas)","10847109"
"março 2021","Sul","Área colhida (Hectares)","12392373"
"março 2021","Sul","Produção (Toneladas)","42189836"
"março 2021","Centro-Oeste","Área colhida (Hectares)","17438699"
"março 2021","Centro-Oeste","Produção (Toneladas)","59786039"
"abril 2021","Brasil","Área colhida (Hectares)","38546120"
"abril 2021","Brasil","Produção (Toneladas)","131927408"
"abril 2021","Norte","Área colhida (Hectares)","2122030"
"abril 2021","Norte","Produção (Toneladas)","6456418"
"abril 2021","Nordeste","Área colhida (Hectares)","3530384"
"abril 2021","Nordeste","Produção (Toneladas)","12503093"
"abril 2021","Sudeste","Área colhida (Hectares)","3061374"
"abril 2021","Sudeste","Produção (Toneladas)","11042686"
"abril 2021","Sul","Área colhida (Hectares)","12394373"
"abril 2021","Sul","Produção (Toneladas)","41883536"
"abril 2021","Centro-Oeste","Área colhida (Hectares)","17437959"
"abril 2021","Centro-Oeste","Produção (Toneladas)","60041675"
"maio 2021","Brasil","Área colhida (Hectares)","38567895"
"maio 2021","Brasil","Produção (Toneladas)","132909904"
"maio 2021","Norte","Área colhida (Hectares)","2122030"
"maio 2021","Norte","Produção (Toneladas)","6456418"
"maio 2021","Nordeste","Área colhida (Hectares)","3530732"
"maio 2021","Nordeste","Produção (Toneladas)","12753465"
"maio 2021","Sudeste","Área colhida (Hectares)","3061374"
"maio 2021","Sudeste","Produção (Toneladas)","11042686"
"maio 2021","Sul","Área colhida (Hectares)","12399277"
"maio 2021","Sul","Produção (Toneladas)","42490513"
"maio 2021","Centro-Oeste","Área colhida (Hectares)","17454482"
"maio 2021","Centro-Oeste","Produção (Toneladas)","60166822"
"junho 2021","Brasil","Área colhida (Hectares)","38642357"
"junho 2021","Brasil","Produção (Toneladas)","133255236"
"junho 2021","Norte","Área colhida (Hectares)","2122480"
"junho 2021","Norte","Produção (Toneladas)","6475133"
"junho 2021","Nordeste","Área colhida (Hectares)","3531102"
"junho 2021","Nordeste","Produção (Toneladas)","12781130"
"junho 2021","Sudeste","Área colhida (Hectares)","3061074"
"junho 2021","Sudeste","Produção (Toneladas)","11042002"
"junho 2021","Sul","Área colhida (Hectares)","12405277"
"junho 2021","Sul","Produção (Toneladas)","42476713"
"junho 2021","Centro-Oeste","Área colhida (Hectares)","17522424"
"junho 2021","Centro-Oeste","Produção (Toneladas)","60480258"
"julho 2021","Brasil","Área colhida (Hectares)","38687953"
"julho 2021","Brasil","Produção (Toneladas)","133426648"
"julho 2021","Norte","Área colhida (Hectares)","2150602"
"julho 2021","Norte","Produção (Toneladas)","6485050"
"julho 2021","Nordeste","Área colhida (Hectares)","3531215"
"julho 2021","Nordeste","Produção (Toneladas)","12781716"
"julho 2021","Sudeste","Área colhida (Hectares)","3061604"
"julho 2021","Sudeste","Produção (Toneladas)","11043947"
"julho 2021","Sul","Área colhida (Hectares)","12422108"
"julho 2021","Sul","Produção (Toneladas)","42639367"
"julho 2021","Centro-Oeste","Área colhida (Hectares)","17522424"
"julho 2021","Centro-Oeste","Produção (Toneladas)","60476568"
"agosto 2021","Brasil","Área colhida (Hectares)","38791271"
"agosto 2021","Brasil","Produção (Toneladas)","133767654"
"agosto 2021","Norte","Área colhida (Hectares)","2149065"
"agosto 2021","Norte","Produção (Toneladas)","6485585"
"agosto 2021","Nordeste","Área colhida (Hectares)","3542850"
"agosto 2021","Nordeste","Produção (Toneladas)","12769502"
"agosto 2021","Sudeste","Área colhida (Hectares)","3093378"
"agosto 2021","Sudeste","Produção (Toneladas)","11093244"
"agosto 2021","Sul","Área colhida (Hectares)","12416308"
"agosto 2021","Sul","Produção (Toneladas)","42599367"
"agosto 2021","Centro-Oeste","Área colhida (Hectares)","17589670"
"agosto 2021","Centro-Oeste","Produção (Toneladas)","60819956"
"setembro 2021","Brasil","Área colhida (Hectares)","38805747"
"setembro 2021","Brasil","Produção (Toneladas)","134036384"
"setembro 2021","Norte","Área colhida (Hectares)","2144757"
"setembro 2021","Norte","Produção (Toneladas)","6478831"
"setembro 2021","Nordeste","Área colhida (Hectares)","3541316"
"setembro 2021","Nordeste","Produção (Toneladas)","12765495"
"setembro 2021","Sudeste","Área colhida (Hectares)","3088478"
"setembro 2021","Sudeste","Produção (Toneladas)","11051544"
"setembro 2021","Sul","Área colhida (Hectares)","12416308"
"setembro 2021","Sul","Produção (Toneladas)","42617087"
"setembro 2021","Centro-Oeste","Área colhida (Hectares)","17614888"
"setembro 2021","Centro-Oeste","Produção (Toneladas)","61123427"
"outubro 2021","Brasil","Área colhida (Hectares)","38819606"
"outubro 2021","Brasil","Produção (Toneladas)","134086406"
"outubro 2021","Norte","Área colhida (Hectares)","2158116"
"outubro 2021","Norte","Produção (Toneladas)","6528639"
"outubro 2021","Nordeste","Área colhida (Hectares)","3541496"
"outubro 2021","Nordeste","Produção (Toneladas)","12766137"
"outubro 2021","Sudeste","Área colhida (Hectares)","3088478"
"outubro 2021","Sudeste","Produção (Toneladas)","11051544"
"outubro 2021","Sul","Área colhida (Hectares)","12416358"
"outubro 2021","Sul","Produção (Toneladas)","42617237"
"outubro 2021","Centro-Oeste","Área colhida (Hectares)","17615158"
"outubro 2021","Centro-Oeste","Produção (Toneladas)","61122849"
"novembro 2021","Brasil","Área colhida (Hectares)","38852091"
"novembro 2021","Brasil","Produção (Toneladas)","134254267"
"novembro 2021","Norte","Área colhida (Hectares)","2163995"
"novembro 2021","Norte","Produção (Toneladas)","6542433"
"novembro 2021","Nordeste","Área colhida (Hectares)","3542792"
"novembro 2021","Nordeste","Produção (Toneladas)","12767127"
"novembro 2021","Sudeste","Área colhida (Hectares)","3089208"
"novembro 2021","Sudeste","Produção (Toneladas)","11052870"
"novembro 2021","Sul","Área colhida (Hectares)","12425255"
"novembro 2021","Sul","Produção (Toneladas)","42612792"
"novembro 2021","Centro-Oeste","Área colhida (Hectares)","17630841"
"novembro 2021","Centro-Oeste","Produção (Toneladas)","61279045"
"dezembro 2021","Brasil","Área colhida (Hectares)","38974763"
"dezembro 2021","Brasil","Produção (Toneladas)","134933704"
"dezembro 2021","Norte","Área colhida (Hectares)","2291267"
"dezembro 2021","Norte","Produção (Toneladas)","7236774"
"dezembro 2021","Nordeste","Área colhida (Hectares)","3542892"
"dezembro 2021","Nordeste","Produção (Toneladas)","12767795"
"dezembro 2021","Sudeste","Área colhida (Hectares)","3089208"
"dezembro 2021","Sudeste","Produção (Toneladas)","11052870"
"dezembro 2021","Sul","Área colhida (Hectares)","12425555"
"dezembro 2021","Sul","Produção (Toneladas)","42614199"
"dezembro 2021","Centro-Oeste","Área colhida (Hectares)","17625841"
"dezembro 2021","Centro-Oeste","Produção (Toneladas)","61262066"
"janeiro 2022","Brasil","Área colhida (Hectares)","40391103"
"janeiro 2022","Brasil","Produção (Toneladas)","131796763"
"janeiro 2022","Norte","Área colhida (Hectares)","2283762"
"janeiro 2022","Norte","Produção (Toneladas)","6854870"
"janeiro 2022","Nordeste","Área colhida (Hectares)","3719333"
"janeiro 2022","Nordeste","Produção (Toneladas)","13216766"
"janeiro 2022","Sudeste","Área colhida (Hectares)","3161547"
"janeiro 2022","Sudeste","Produção (Toneladas)","11157465"
"janeiro 2022","Sul","Área colhida (Hectares)","12818527"
"janeiro 2022","Sul","Produção (Toneladas)","36588306"
"janeiro 2022","Centro-Oeste","Área colhida (Hectares)","18407934"
"janeiro 2022","Centro-Oeste","Produção (Toneladas)","63979356"
"fevereiro 2022","Brasil","Área colhida (Hectares)","40403415"
"fevereiro 2022","Brasil","Produção (Toneladas)","123015134"
"fevereiro 2022","Norte","Área colhida (Hectares)","2327121"
"fevereiro 2022","Norte","Produção (Toneladas)","7174407"
"fevereiro 2022","Nordeste","Área colhida (Hectares)","3753567"
"fevereiro 2022","Nordeste","Produção (Toneladas)","13481053"
"fevereiro 2022","Sudeste","Área colhida (Hectares)","3161547"
"fevereiro 2022","Sudeste","Produção (Toneladas)","11157465"
"fevereiro 2022","Sul","Área colhida (Hectares)","12753246"
"fevereiro 2022","Sul","Produção (Toneladas)","27222853"
"fevereiro 2022","Centro-Oeste","Área colhida (Hectares)","18407934"
"fevereiro 2022","Centro-Oeste","Produção (Toneladas)","63979356"
"março 2022","Brasil","Área colhida (Hectares)","40440804"
"março 2022","Brasil","Produção (Toneladas)","116179822"
"março 2022","Norte","Área colhida (Hectares)","2342417"
"março 2022","Norte","Produção (Toneladas)","7384415"
"março 2022","Nordeste","Área colhida (Hectares)","3753795"
"março 2022","Nordeste","Produção (Toneladas)","13581887"
"março 2022","Sudeste","Área colhida (Hectares)","3156924"
"março 2022","Sudeste","Produção (Toneladas)","11154236"
"março 2022","Sul","Área colhida (Hectares)","12713986"
"março 2022","Sul","Produção (Toneladas)","23220596"
"março 2022","Centro-Oeste","Área colhida (Hectares)","18473682"
"março 2022","Centro-Oeste","Produção (Toneladas)","60838688"
"abril 2022","Brasil","Área colhida (Hectares)","40630663"
"abril 2022","Brasil","Produção (Toneladas)","118517403"
"abril 2022","Norte","Área colhida (Hectares)","2384689"
"abril 2022","Norte","Produção (Toneladas)","7555238"
"abril 2022","Nordeste","Área colhida (Hectares)","3753391"
"abril 2022","Nordeste","Produção (Toneladas)","13671614"
"abril 2022","Sudeste","Área colhida (Hectares)","3185901"
"abril 2022","Sudeste","Produção (Toneladas)","11610340"
"abril 2022","Sul","Área colhida (Hectares)","12717617"
"abril 2022","Sul","Produção (Toneladas)","23486009"
"abril 2022","Centro-Oeste","Área colhida (Hectares)","18589065"
"abril 2022","Centro-Oeste","Produção (Toneladas)","62194202"
"maio 2022","Brasil","Área colhida (Hectares)","40644308"
"maio 2022","Brasil","Produção (Toneladas)","118609835"
"maio 2022","Norte","Área colhida (Hectares)","2384689"
"maio 2022","Norte","Produção (Toneladas)","7555237"
"maio 2022","Nordeste","Área colhida (Hectares)","3786632"
"maio 2022","Nordeste","Produção (Toneladas)","13810728"
"maio 2022","Sudeste","Área colhida (Hectares)","3222849"
"maio 2022","Sudeste","Produção (Toneladas)","11820560"
"maio 2022","Sul","Área colhida (Hectares)","12667954"
"maio 2022","Sul","Produção (Toneladas)","23356557"
"maio 2022","Centro-Oeste","Área colhida (Hectares)","18582184"
"maio 2022","Centro-Oeste","Produção (Toneladas)","62066753"
"junho 2022","Brasil","Área colhida (Hectares)","40686155"
"junho 2022","Brasil","Produção (Toneladas)","117959081"
"junho 2022","Norte","Área colhida (Hectares)","2383788"
"junho 2022","Norte","Produção (Toneladas)","7558200"
"junho 2022","Nordeste","Área colhida (Hectares)","3786776"
"junho 2022","Nordeste","Produção (Toneladas)","13810728"
"junho 2022","Sudeste","Área colhida (Hectares)","3225153"
"junho 2022","Sudeste","Produção (Toneladas)","11837451"
"junho 2022","Sul","Área colhida (Hectares)","12665954"
"junho 2022","Sul","Produção (Toneladas)","23375757"
"junho 2022","Centro-Oeste","Área colhida (Hectares)","18624484"
"junho 2022","Centro-Oeste","Produção (Toneladas)","61376945"
"julho 2022","Brasil","Área colhida (Hectares)","40782819"
"julho 2022","Brasil","Produção (Toneladas)","118773245"
"julho 2022","Norte","Área colhida (Hectares)","2483715"
"julho 2022","Norte","Produção (Toneladas)","7651336"
"julho 2022","Nordeste","Área colhida (Hectares)","3782790"
"julho 2022","Nordeste","Produção (Toneladas)","13795631"
"julho 2022","Sudeste","Área colhida (Hectares)","3225653"
"julho 2022","Sudeste","Produção (Toneladas)","11838147"
"julho 2022","Sul","Área colhida (Hectares)","12657909"
"julho 2022","Sul","Produção (Toneladas)","23567348"
"julho 2022","Centro-Oeste","Área colhida (Hectares)","18632752"
"julho 2022","Centro-Oeste","Produção (Toneladas)","61920783"
"agosto 2022","Brasil","Área colhida (Hectares)","40823998"
"agosto 2022","Brasil","Produção (Toneladas)","118834511"
"agosto 2022","Norte","Área colhida (Hectares)","2499433"
"agosto 2022","Norte","Produção (Toneladas)","7689949"
"agosto 2022","Nordeste","Área colhida (Hectares)","3782746"
"agosto 2022","Nordeste","Produção (Toneladas)","13806810"
"agosto 2022","Sudeste","Área colhida (Hectares)","3225653"
"agosto 2022","Sudeste","Produção (Toneladas)","11838147"
"agosto 2022","Sul","Área colhida (Hectares)","12672509"
"agosto 2022","Sul","Produção (Toneladas)","23542848"
"agosto 2022","Centro-Oeste","Área colhida (Hectares)","18643657"
"agosto 2022","Centro-Oeste","Produção (Toneladas)","61956757"
"setembro 2022","Brasil","Área colhida (Hectares)","40875585"
